client_id,int_score,int_confidence,int_review_decision,int_revision_count,hier_score,hier_confidence,hier_review_decision,hier_revision_count,score_delta,group,trap_subtype,is_money_laundering,expected_risk_score,expected_risk_min,expected_risk_max,rationale,group_label,int_in_range,int_abs_error,int_predicted_guilty,int_correct,int_consensus_reached,hier_in_range,hier_abs_error,hier_predicted_guilty,hier_correct,hier_consensus_reached
C8882,10.0,85.0,APPROVE,0,25.0,85.0,APPROVE,0,15.0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,5.0,0,1,1,1,10.0,0,1,1
C4562,40.0,80.0,APPROVE,0,75.0,80.0,REJECT,2,35.0,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,0,25.0,0,1,1,0,60.0,1,0,0
C1965,49.0,80.0,APPROVE,0,41.0,75.0,APPROVE,0,-8.0,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,0,34.0,0,1,1,0,26.0,0,1,1
C9238,45.0,80.0,APPROVE,1,55.0,85.0,APPROVE,1,10.0,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,0,30.0,0,1,1,0,40.0,1,0,1
C809,50.0,80.0,APPROVE,0,50.0,80.0,REJECT,2,0.0,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,0,35.0,1,0,1,0,35.0,1,0,0
C5765,50.0,85.0,APPROVE,0,35.0,85.0,APPROVE,0,-15.0,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,0,35.0,1,0,1,0,20.0,0,1,1
C8825,90.0,90.0,APPROVE,1,75.0,85.0,REJECT,2,-15.0,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,0,75.0,1,0,1,0,60.0,1,0,0
C2083,90.0,85.0,APPROVE,2,95.0,95.0,REJECT,2,5.0,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,0,75.0,1,0,1,0,80.0,1,0,0
C2645,51.0,70.0,APPROVE,0,75.0,90.0,REJECT,2,24.0,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,0,36.0,1,0,1,0,60.0,1,0,0
C2729,45.0,80.0,APPROVE,0,30.0,90.0,REJECT,2,-15.0,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,0,30.0,0,1,1,1,15.0,0,1,0
C4195,60.0,85.0,APPROVE,1,70.0,90.0,APPROVE,1,10.0,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,0,45.0,1,0,1,0,55.0,1,0,1
C6250,70.0,85.0,APPROVE,2,75.0,85.0,REJECT,2,5.0,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,55.0,1,0,1,0,60.0,1,0,0
C2576,65.0,90.0,APPROVE,1,95.0,90.0,REJECT,2,30.0,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,50.0,1,0,1,0,80.0,1,0,0
C7266,90.0,90.0,APPROVE,1,50.0,80.0,REJECT,2,-40.0,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,75.0,1,0,1,0,35.0,1,0,0
C2386,80.0,85.0,APPROVE,1,85.0,85.0,REJECT,2,5.0,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,65.0,1,0,1,0,70.0,1,0,0
C3891,56.0,85.0,APPROVE,0,75.0,90.0,REJECT,2,19.0,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,41.0,1,0,1,0,60.0,1,0,0
C6151,50.0,80.0,APPROVE,0,70.0,90.0,REJECT,2,20.0,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,35.0,1,0,1,0,55.0,1,0,0
C1941,50.0,80.0,APPROVE,0,65.0,90.0,REJECT,2,15.0,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,35.0,1,0,1,0,50.0,1,0,0
C3408,70.0,90.0,REJECT,2,75.0,85.0,REJECT,2,5.0,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,55.0,1,0,0,0,60.0,1,0,0
C4235,50.0,85.0,APPROVE,0,75.0,85.0,REJECT,2,25.0,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,35.0,1,0,1,0,60.0,1,0,0
C6200,45.0,80.0,APPROVE,0,85.0,95.0,REJECT,2,40.0,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,30.0,0,1,1,0,70.0,1,0,0
C5843,85.0,90.0,APPROVE,0,85.0,90.0,REJECT,2,0.0,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,0.0,1,1,1,1,0.0,1,1,0
C904,85.0,90.0,APPROVE,0,75.0,85.0,REJECT,2,-10.0,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,0.0,1,1,1,1,10.0,1,1,0
C3553,85.0,90.0,APPROVE,0,85.0,90.0,REJECT,2,0.0,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,0.0,1,1,1,1,0.0,1,1,0
C1375,80.0,85.0,APPROVE,0,70.0,85.0,APPROVE,0,-10.0,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,5.0,1,1,1,1,15.0,1,1,1
C8079,45.0,80.0,APPROVE,0,50.0,75.0,REJECT,2,5.0,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,0,40.0,0,0,1,0,35.0,1,1,0
C4169,85.0,90.0,APPROVE,0,50.0,85.0,REJECT,2,-35.0,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,0.0,1,1,1,0,35.0,1,1,0
C5181,75.0,85.0,APPROVE,0,85.0,90.0,APPROVE,0,10.0,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,10.0,1,1,1,1,0.0,1,1,1
C6018,85.0,90.0,APPROVE,1,90.0,95.0,REJECT,2,5.0,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,1,0.0,1,1,1,1,5.0,1,1,0
C5350,75.0,85.0,APPROVE,0,85.0,90.0,REJECT,2,10.0,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,1,10.0,1,1,1,1,0.0,1,1,0
C4080,75.0,85.0,APPROVE,0,65.0,90.0,REJECT,2,-10.0,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,1,10.0,1,1,1,0,20.0,1,1,0
C430,55.0,75.0,APPROVE,0,85.0,90.0,APPROVE,2,30.0,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,0,30.0,1,1,1,1,0.0,1,1,1
C1324,75.0,85.0,APPROVE,0,85.0,85.0,REJECT,2,10.0,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,1,10.0,1,1,1,1,0.0,1,1,0
C9895,70.0,85.0,APPROVE,0,85.0,90.0,REJECT,2,15.0,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,1,15.0,1,1,1,1,0.0,1,1,0
C3052,70.0,75.0,APPROVE,2,70.0,80.0,REJECT,2,0.0,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,1,15.0,1,1,1,1,15.0,1,1,0
C3057,90.0,85.0,APPROVE,0,90.0,95.0,APPROVE,1,0.0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,5.0,1,1,1,1,5.0,1,1,1
C6081,87.0,85.0,APPROVE,0,85.0,90.0,APPROVE,0,-2.0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,2.0,1,1,1,1,0.0,1,1,1
C5978,85.0,90.0,APPROVE,0,90.0,90.0,REJECT,2,5.0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,0.0,1,1,1,1,5.0,1,1,0
C7518,90.0,85.0,APPROVE,0,85.0,90.0,APPROVE,0,-5.0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,5.0,1,1,1,1,0.0,1,1,1
C4402,85.0,90.0,APPROVE,0,90.0,90.0,APPROVE,1,5.0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,0.0,1,1,1,1,5.0,1,1,1
