client_id,model,int_initial_score,int_score,int_confidence,int_review_decision,int_revision_count,int_score_rev1,int_score_rev2,hier_initial_score,hier_score,hier_confidence,hier_review_decision,hier_revision_count,hier_score_rev1,hier_score_rev2,ctx_initial_score,ctx_score,ctx_confidence,ctx_review_decision,ctx_revision_count,ctx_score_rev1,ctx_score_rev2,llm_initial_score,llm_score,llm_confidence,llm_review_decision,llm_revision_count,llm_score_rev1,llm_score_rev2,int_hier_delta,int_ctx_delta,int_llm_delta,hier_ctx_delta,hier_llm_delta,ctx_llm_delta,group,trap_subtype,is_money_laundering,expected_risk_score,expected_risk_min,expected_risk_max,rationale,group_label,int_in_range,int_abs_error,int_predicted_guilty,int_correct,int_consensus_reached,int_score_shift,hier_in_range,hier_abs_error,hier_predicted_guilty,hier_correct,hier_consensus_reached,hier_score_shift,ctx_in_range,ctx_abs_error,ctx_predicted_guilty,ctx_correct,ctx_consensus_reached,ctx_score_shift,llm_in_range,llm_abs_error,llm_predicted_guilty,llm_correct,llm_consensus_reached,llm_score_shift
C6573,gpt-5.1,18,12,90,APPROVE,1,12.0,,20,20,86,APPROVE,0,,,18,18,88,APPROVE,0,,,18,18,88,APPROVE,0,,,8,6,6,-2,-2,0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,3.0,0,1,1,-6,1,5.0,0,1,1,0,1,3.0,0,1,1,0,1,3.0,0,1,1,0
C9986,gpt-5.1,18,18,86,APPROVE,0,,,20,20,86,APPROVE,0,,,18,18,86,APPROVE,0,,,18,18,86,APPROVE,0,,,2,0,0,-2,-2,0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,3.0,0,1,1,0,1,5.0,0,1,1,0,1,3.0,0,1,1,0,1,3.0,0,1,1,0
C3641,gpt-5.1,18,18,86,APPROVE,0,,,18,18,86,APPROVE,0,,,18,18,88,APPROVE,0,,,10,10,92,APPROVE,0,,,0,0,-8,0,-8,-8,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,3.0,0,1,1,0,1,3.0,0,1,1,0,1,3.0,0,1,1,0,1,5.0,0,1,1,0
C2683,gpt-5.1,10,10,92,APPROVE,0,,,12,12,88,APPROVE,0,,,10,10,93,APPROVE,0,,,10,10,90,APPROVE,0,,,2,0,0,-2,-2,0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,5.0,0,1,1,0,1,3.0,0,1,1,0,1,5.0,0,1,1,0,1,5.0,0,1,1,0
C1970,gpt-5.1,18,12,90,APPROVE,1,12.0,,18,18,87,APPROVE,0,,,18,18,86,APPROVE,0,,,18,18,86,APPROVE,0,,,6,6,6,0,0,0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,3.0,0,1,1,-6,1,3.0,0,1,1,0,1,3.0,0,1,1,0,1,3.0,0,1,1,0
C8882,gpt-5.1,15,15,86,APPROVE,0,,,15,15,88,APPROVE,0,,,10,10,90,APPROVE,0,,,12,12,84,APPROVE,0,,,0,-5,-3,-5,-3,2,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,0.0,0,1,1,0,1,0.0,0,1,1,0,1,5.0,0,1,1,0,1,3.0,0,1,1,0
C4562,gpt-5.1,28,28,83,APPROVE,0,,,28,30,83,APPROVE,0,,,28,28,83,APPROVE,0,,,32,20,88,APPROVE,1,20.0,,2,0,-8,-2,-10,-8,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,1,13.0,0,1,1,0,1,15.0,0,1,1,2,1,13.0,0,1,1,0,1,5.0,0,1,1,-12
C1965,gpt-5.1,32,28,82,APPROVE,1,28.0,,28,28,79,APPROVE,0,,,32,25,85,APPROVE,1,25.0,,28,25,82,APPROVE,0,,,0,-3,-3,-3,-3,0,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,1,13.0,0,1,1,-4,1,13.0,0,1,1,0,1,10.0,0,1,1,-7,1,10.0,0,1,1,-3
C9238,gpt-5.1,38,30,82,APPROVE,1,30.0,,39,39,76,APPROVE,0,,,38,30,82,APPROVE,1,30.0,,38,28,80,APPROVE,1,28.0,,9,0,-2,-9,-11,-2,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,1,15.0,0,1,1,-8,0,24.0,0,1,1,0,1,15.0,0,1,1,-8,1,13.0,0,1,1,-10
C809,gpt-5.1,32,32,82,APPROVE,0,,,22,22,82,APPROVE,0,,,18,18,86,APPROVE,0,,,32,20,88,APPROVE,1,20.0,,-10,-14,-12,-4,-2,2,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,0,17.0,0,1,1,0,1,7.0,0,1,1,0,1,3.0,0,1,1,0,1,5.0,0,1,1,-12
C5765,gpt-5.1,32,32,78,APPROVE,0,,,32,32,78,APPROVE,0,,,32,32,74,APPROVE,0,,,28,25,83,APPROVE,0,,,0,0,-7,0,-7,-7,fp_trap,charity,0,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:charity,0,17.0,0,1,1,0,0,17.0,0,1,1,0,0,17.0,0,1,1,0,1,10.0,0,1,1,-3
C8825,gpt-5.1,38,38,78,APPROVE,0,,,45,45,72,APPROVE,0,,,42,42,78,APPROVE,0,,,42,24,88,APPROVE,1,24.0,,7,4,-14,-3,-21,-18,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,0,23.0,0,1,1,0,0,30.0,0,1,1,0,0,27.0,0,1,1,0,1,9.0,0,1,1,-18
C2083,gpt-5.1,48,48,78,APPROVE,0,,,47,47,79,APPROVE,0,,,48,48,76,APPROVE,0,,,42,25,85,APPROVE,1,25.0,,-1,0,-23,1,-22,-23,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,0,33.0,0,1,1,0,0,32.0,0,1,1,0,0,33.0,0,1,1,0,1,10.0,0,1,1,-17
C2645,gpt-5.1,38,38,72,APPROVE,0,,,45,45,78,APPROVE,0,,,38,38,86,APPROVE,0,,,38,20,88,APPROVE,1,20.0,,7,0,-18,-7,-25,-18,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,0,23.0,0,1,1,0,0,30.0,0,1,1,0,0,23.0,0,1,1,0,1,5.0,0,1,1,-18
C2729,gpt-5.1,28,28,86,APPROVE,0,,,32,32,83,APPROVE,0,,,32,30,80,APPROVE,0,,,35,20,90,APPROVE,1,20.0,,4,2,-8,-2,-12,-10,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,1,13.0,0,1,1,0,0,17.0,0,1,1,0,1,15.0,0,1,1,-2,1,5.0,0,1,1,-15
C4195,gpt-5.1,47,47,78,APPROVE,0,,,42,42,78,APPROVE,0,,,42,42,78,APPROVE,0,,,48,25,85,APPROVE,1,25.0,,-5,-5,-22,0,-17,-17,fp_trap,payroll,0,low,0,30,"FALSE POSITIVE TRAP. High fan-out (many recipients) mimics layering, but entity runs legitimate payroll/vendor payments. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:payroll,0,32.0,0,1,1,0,0,27.0,0,1,1,0,0,27.0,0,1,1,0,1,10.0,0,1,1,-23
C6250,gpt-5.1,55,55,76,APPROVE,0,,,52,52,78,APPROVE,0,,,54,54,78,APPROVE,0,,,42,28,82,APPROVE,1,28.0,,-3,-1,-27,2,-24,-26,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,40.0,1,0,1,0,0,37.0,1,0,1,0,0,39.0,1,0,1,0,1,13.0,0,1,1,-14
C2576,gpt-5.1,48,48,78,APPROVE,0,,,42,42,72,APPROVE,0,,,38,38,76,APPROVE,0,,,45,25,82,APPROVE,1,25.0,,-6,-10,-23,-4,-17,-13,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,33.0,0,1,1,0,0,27.0,0,1,1,0,0,23.0,0,1,1,0,1,10.0,0,1,1,-20
C7266,gpt-5.1,46,46,78,APPROVE,0,,,48,48,77,APPROVE,0,,,55,55,78,APPROVE,0,,,55,25,80,APPROVE,1,25.0,,2,9,-21,7,-23,-30,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,31.0,0,1,1,0,0,33.0,0,1,1,0,0,40.0,1,0,1,0,1,10.0,0,1,1,-30
C2386,gpt-5.1,38,38,82,APPROVE,0,,,42,42,78,APPROVE,0,,,48,48,78,APPROVE,0,,,38,22,85,APPROVE,1,22.0,,4,10,-16,6,-20,-26,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,23.0,0,1,1,0,0,27.0,0,1,1,0,0,33.0,0,1,1,0,1,7.0,0,1,1,-16
C3891,gpt-5.1,38,38,82,APPROVE,0,,,38,55,82,APPROVE,1,55.0,,38,30,82,APPROVE,1,30.0,,42,25,85,APPROVE,1,25.0,,17,-8,-13,-25,-30,-5,fp_trap,high_roller,0,low,0,30,"FALSE POSITIVE TRAP. Massive transaction volume mimics laundering throughput, but entity is a legitimate high-turnover business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:high_roller,0,23.0,0,1,1,0,0,40.0,1,0,1,17,1,15.0,0,1,1,-8,1,10.0,0,1,1,-17
C6151,gpt-5.1,32,32,78,APPROVE,0,,,38,38,78,APPROVE,0,,,32,32,78,APPROVE,0,,,38,25,85,APPROVE,1,25.0,,6,0,-7,-6,-13,-7,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,17.0,0,1,1,0,0,23.0,0,1,1,0,0,17.0,0,1,1,0,1,10.0,0,1,1,-13
C1941,gpt-5.1,38,38,78,APPROVE,0,,,39,40,71,APPROVE,0,,,32,30,78,APPROVE,0,,,32,20,85,APPROVE,1,20.0,,2,-8,-18,-10,-20,-10,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,23.0,0,1,1,0,0,25.0,0,1,1,1,1,15.0,0,1,1,-2,1,5.0,0,1,1,-12
C3408,gpt-5.1,38,38,78,APPROVE,0,,,32,32,78,APPROVE,0,,,38,35,76,APPROVE,0,,,32,20,85,APPROVE,1,20.0,,-6,-3,-18,3,-12,-15,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,23.0,0,1,1,0,0,17.0,0,1,1,0,0,20.0,0,1,1,-3,1,5.0,0,1,1,-12
C4235,gpt-5.1,32,32,78,APPROVE,0,,,38,38,78,APPROVE,0,,,38,35,82,APPROVE,0,,,38,22,85,APPROVE,1,22.0,,6,3,-10,-3,-16,-13,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,17.0,0,1,1,0,0,23.0,0,1,1,0,0,20.0,0,1,1,-3,1,7.0,0,1,1,-16
C6200,gpt-5.1,32,32,78,APPROVE,0,,,32,32,78,APPROVE,0,,,32,25,82,APPROVE,1,25.0,,32,20,88,APPROVE,1,20.0,,0,-7,-12,-7,-12,-5,fp_trap,structurer,0,low,0,30,"FALSE POSITIVE TRAP. Consistently high avg txn amounts mimic structuring, but entity operates a cash-intensive business. Agent must find alibi in knowledge base and downgrade risk.",fp_trap:structurer,0,17.0,0,1,1,0,0,17.0,0,1,1,0,1,10.0,0,1,1,-7,1,5.0,0,1,1,-12
C5843,gpt-5.1,88,88,86,APPROVE,0,,,88,88,87,APPROVE,0,,,87,87,82,APPROVE,0,,,88,88,86,APPROVE,0,,,0,-1,0,-1,0,1,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,3.0,1,1,1,0,1,3.0,1,1,1,0,1,2.0,1,1,1,0,1,3.0,1,1,1,0
C904,gpt-5.1,71,71,83,APPROVE,0,,,78,78,86,APPROVE,0,,,78,78,85,APPROVE,0,,,78,80,87,APPROVE,0,,,7,7,9,0,2,2,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,14.0,1,1,1,0,1,7.0,1,1,1,0,1,7.0,1,1,1,0,1,5.0,1,1,1,2
C3553,gpt-5.1,78,78,86,APPROVE,0,,,78,78,86,APPROVE,0,,,78,78,86,APPROVE,0,,,82,82,88,APPROVE,0,,,0,0,4,0,4,4,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,7.0,1,1,1,0,1,7.0,1,1,1,0,1,7.0,1,1,1,0,1,3.0,1,1,1,0
C1375,gpt-5.1,78,78,86,APPROVE,0,,,82,82,88,APPROVE,0,,,78,78,86,APPROVE,0,,,78,78,86,APPROVE,0,,,4,0,0,-4,-4,0,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,7.0,1,1,1,0,1,3.0,1,1,1,0,1,7.0,1,1,1,0,1,7.0,1,1,1,0
C8079,gpt-5.1,73,40,78,APPROVE,1,40.0,,63,60,78,APPROVE,0,,,63,35,78,APPROVE,1,35.0,,71,75,78,APPROVE,0,,,20,-5,35,-25,15,40,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,0,45.0,0,0,1,-33,0,25.0,1,1,1,-3,0,50.0,0,0,1,-28,1,10.0,1,1,1,4
C4169,gpt-5.1,68,68,78,APPROVE,0,,,72,72,83,APPROVE,0,,,72,70,83,APPROVE,0,,,78,78,83,APPROVE,0,,,4,2,10,-2,6,8,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,0,17.0,1,1,1,0,1,13.0,1,1,1,0,1,15.0,1,1,1,-2,1,7.0,1,1,1,0
C5181,gpt-5.1,78,78,88,APPROVE,0,,,78,78,88,APPROVE,0,,,71,71,82,APPROVE,0,,,78,78,88,APPROVE,0,,,0,-7,0,-7,0,7,fn_trap,sleeper,1,high,70,100,"FALSE NEGATIVE TRAP. Transaction data is unremarkable (low volume, no graph anomalies). The ONLY signal is adverse intelligence in the knowledge base. Agent must override clean quantitative data with qualitative evidence to correctly flag as high risk.",fn_trap:sleeper,1,7.0,1,1,1,0,1,7.0,1,1,1,0,1,14.0,1,1,1,0,1,7.0,1,1,1,0
C6018,gpt-5.1,63,63,78,APPROVE,0,,,62,62,78,APPROVE,0,,,58,58,74,APPROVE,0,,,64,30,80,APPROVE,2,40.0,30.0,-1,-5,-33,-4,-32,-28,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,0,22.0,1,1,1,0,0,23.0,1,1,1,0,0,27.0,1,1,1,0,0,55.0,0,0,1,-34
C5350,gpt-5.1,65,65,78,APPROVE,0,,,55,55,73,APPROVE,0,,,69,69,74,APPROVE,0,,,69,80,80,APPROVE,1,80.0,,-10,4,15,14,25,11,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,0,20.0,1,1,1,0,0,30.0,1,1,1,0,0,16.0,1,1,1,0,1,5.0,1,1,1,11
C4080,gpt-5.1,45,45,70,APPROVE,0,,,48,48,67,APPROVE,0,,,55,55,72,APPROVE,0,,,48,62,78,APPROVE,1,62.0,,3,10,17,7,14,7,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,0,40.0,0,0,1,0,0,37.0,0,0,1,0,0,30.0,1,1,1,0,0,23.0,1,1,1,14
C430,gpt-5.1,38,38,70,APPROVE,0,,,38,38,76,APPROVE,0,,,38,38,63,APPROVE,0,,,39,28,78,APPROVE,1,28.0,,0,0,-10,0,-10,-10,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,0,47.0,0,0,1,0,0,47.0,0,0,1,0,0,47.0,0,0,1,0,0,57.0,0,0,1,-11
C1324,gpt-5.1,64,64,72,APPROVE,0,,,48,48,72,APPROVE,0,,,55,55,72,APPROVE,0,,,55,60,72,APPROVE,0,,,-16,-9,-4,7,12,5,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,0,21.0,1,1,1,0,0,37.0,0,0,1,0,0,30.0,1,1,1,0,0,25.0,1,1,1,5
C9895,gpt-5.1,48,48,72,APPROVE,0,,,48,48,78,APPROVE,0,,,45,45,65,APPROVE,0,,,47,60,72,APPROVE,1,60.0,,0,-3,12,-3,12,15,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,0,37.0,0,0,1,0,0,37.0,0,0,1,0,0,40.0,0,0,1,0,0,25.0,1,1,1,13
C3052,gpt-5.1,82,65,80,APPROVE,1,65.0,,72,72,84,APPROVE,0,,,78,65,80,APPROVE,1,65.0,,72,80,86,APPROVE,0,,,7,0,15,-7,8,15,fn_trap,smurf,1,high,70,100,FALSE NEGATIVE TRAP. High fan-in with small amounts looks like normal peer-to-peer activity (student/gig worker). Knowledge base reveals mule-network involvement. Agent must synthesise topology pattern + qualitative trigger to correctly flag as high risk.,fn_trap:smurf,0,20.0,1,1,1,-17,1,13.0,1,1,1,0,0,20.0,1,1,1,-13,1,5.0,1,1,1,8
